comment_id,parent_id,username,comment,comment_time,like_count,reply_count
17849938803538805,,ahmad.nasrullah1980,🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥,1755906645,0,0
18081706639901405,,deniabdillah.m,😅😅😅😅😅,1755906685,0,0
17854827648458942,,bambangsupri09,"Pembelajaran buat kita, sebaiknya pejabat punya latarbelakang sdh mapan secara ekonomi, ingin mengabdi dan berintegritas.",1755906950,0,0
18380472841135111,,astika_aniez,Jika Allah sdh berkehendak seketika di hempas ke atass setinggi2nya seketika pula dihempas ke bawah serendah2nya.. menyala pata koruptor di indonesia selagi hukum masih bobrok🔥🔥,1755907035,0,0
18034944857705231,,hary_konco,Nglembreh 😂,1755907042,0,0
18076650826995460,,hary_konco,Masih banyak noel² yang lainnya,1755907097,0,0
18039707246398597,,prasastyo_griyan,"Tulis judul berita nya, buzzer yang sukses karir nya moncer",1755907133,0,0
18064559738252768,,ade.deandra.1,Keblinger .....tak terkontrol ....liat langsung ijo😂....duniawi uang itulah yang membuahkan anda SPT ini pak....jalani saja,1755907205,0,0
18071067959112080,,megawati_syg,"Pokoknya, dimana ada peluang, disitu kita nempel.. seperti begitulah agar karir kalian melejit paripurna 😂😂",1755907431,0,0
18018320855565167,,sadlie0407,Negeri ini modal jilat karir lebih cemerlang,1755907643,0,0
18044728823334735,,wahyu.p.ningtyas,Udah dibilang hidup itu bersyukur,1755907764,0,0
18114120583515241,,ichtiaradimassaputra,Amnesty pak amnesty😭,1755907769,0,0
17870283252423830,,fadil_kuw,😂tidak ada karir yang jelas dan bisa dapat jabatan mentri. Enaknya hidup di negri ini,1755908153,0,0
18091837942676442,,steffifm,😂😂😂,1755908294,0,0
18100016167611240,,ridwan_rafly00,Bukannya pejabat ujung karirnya pake rompi oren(?),1755908393,0,0
18089799508739718,,trunamulia,Dia adalah contoh nyata ungkapan Jawa Kere munggah bale,1755908397,0,0
18063333992206885,,margaretvh,"Taksuka Generasi,",1755908451,0,0
18063019109024297,,justbril,Mie instan aja perlu diproses rebus...ini terlalu instan ka prosesnya🤣,1755908566,0,0
17971448066939821,,khoirulmahmudinn,"Ingat rumusnya, mau sukses harus jadi termul",1755908593,0,0
